Unique ID,Car Type,Year,Makes,Models,Nickname,Year Makes Models,Special Access,Reward,Shop Series,DLC Date/Pack,FE Boost,Rarity,Car Value,Class,PI,S,H,A,L,B,HP,T,Wt,Wt / HP,%,Displ,Aspiration,Engine,Cylinders,Eng,Drive,Track Width,R Tire,Aero or kit Options,Engine Conversions (hp),PI RWD,PI AWD,Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,Added,filter
143,Classic Muscle,1970,Chevrolet,Chevelle Super Sport 454,Chevelle '70,1970 Chevrolet Chevelle Super Sport 454,,,,,,Common,"80,000",C,542,5.6,4.6,5.1,6.4,4.3,450,500,3799,8.44,59,7439,NA,V,8,F,RWD,Both,215,Preset / hood,"415, 640, 700",542,579,PDS,stock,N. America,U.S.,,,2,L,4,,MvT,6.100,13.500,13.683,130.7,213.1,509.5,0.72,0.72,7.400,9/7/2018,Factory
144,Classic Muscle,1969,Chevrolet,Nova Super Sport 396 Forza Edition,Nova '69 FE,1969 Chevrolet Nova Super Sport 396 Forza Edition,Exclusive,"Wheelspin, S15, S23, S28","S2, S4",,Speed Skills,FE,"297,000",B,657,6.7,6.1,5.1,6.0,5.5,375,415,3470,9.25,55,6489,NA,V,8,F,RWD,no,385,Preset / hood,"415, 640, 505, 700",657,634,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,,,,,,,,,.000,9/28/2018,Upgraded
145,Classic Muscle,1969,Chevrolet,Camaro Super Sport Coupe,Chevy Camaro '69,1969 Chevrolet Camaro Super Sport Coupe,,,,,,Rare,"110,000",C,566,5.9,4.9,5.3,6.7,4.6,375,415,3527,9.41,58,6478,NA,V,8,F,RWD,Both,215,Preset / hood,"415, 640, 700",566,584,"TT, PDS, CS",stock,N. America,U.S.,Camaro,,2,L,4,,MvT,6.385,16.300,14.213,139.4,200.7,479.5,0.77,0.76,9.915,9/7/2018,Factory
146,Classic Muscle,1969,Chevrolet,Nova Super Sport 396,Chevy Nova '69,1969 Chevrolet Nova Super Sport 396,,,,,,Rare,"47,000",C,552,6.2,4.6,5.3,6.6,4.3,375,415,3470,9.25,55,6489,NA,V,8,F,RWD,Front,195,Hood,"415, 640, 700",552,578,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,6.000,13.400,13.870,148.6,208.5,504.7,0.72,0.72,7.400,9/7/2018,Factory
147,Classic Muscle,1967,Chevrolet,Corvette Stingray 427,Corvette '67,1967 Chevrolet Corvette Stingray 427,,,,,,Rare,"150,000",B,621,6.3,5.0,5.6,6.7,4.8,435,460,3384,7.78,46,6997,NA,V,8,F,RWD,no,215,Hood,"415, 640, 700",621,650,"TT, PDS, CS",stock,N. America,U.S.,Corvette,,2,L,4,,MvT,4.700,12.317,13.617,152.6,193.7,478.4,0.74,0.73,7.617,9/7/2018,Factory
148,Classic Muscle,1967,Chevrolet,Chevelle Super Sport 396,Chevelle '67,1967 Chevrolet Chevelle Super Sport 396,Exclusive,"S8, S11, S15, S18, S19, S22, S24",S21.3,201904 Series 8,,Legendary,"250,000",C,561,6.5,4.6,5.2,6.6,4.4,375,415,3585,9.56,57,6478,NA,V,8,F,RWD,Both,225,Hood,"415, 640, 700",561,593,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,UH,6.500,15.400,14.250,159.0,210.7,504.7,0.72,0.72,8.900,7/25/2017,Factory
149,Classic Muscle,1966,Chevrolet,Nova Super Sport,Chevy Nova '66,1966 Chevrolet Nova Super Sport,,,,,,Common,"70,000",C,582,6.2,4.8,5.4,6.9,4.5,350,360,3146,8.99,54,5354,NA,V,8,F,RWD,Both,195,Preset / hood,"415, 640, 700",582,608,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,7.200,18.200,14.183,149.5,194.4,477.1,0.75,0.75,11.000,9/7/2018,Factory
150,Rods and Customs,1964,Chevrolet,Impala Super Sport 409,Chevy Impala,1964 Chevrolet Impala Super Sport 409,,,,,,Rare,"46,000",C,527,6.3,4.3,5.1,6.4,4.2,425,425,3877,9.12,56,6670,NA,V,8,F,RWD,Both,205,Preset / hood,"415, 640, 700",527,572,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,6.300,12.800,14.900,150.0,210.7,513.3,0.71,0.71,6.500,9/7/2018,Factory
151,Classic Sports Cars,1960,Chevrolet,Corvette,Corvette '60,1960 Chevrolet Corvette,,,,,,Rare,"150,000",C,521,6.2,4.6,5.2,6.6,4.4,290,290,3080,10.62,55,4638,NA,V,8,F,RWD,Both,165,Hood,none,521,546,CS,stock,N. America,U.S.,Corvette,Yes,2,L,4,,SS,6.858,15.100,14.900,148.2,206.3,508.5,0.72,0.71,8.242,9/7/2018,Factory
152,Rods and Customs,1957,Chevrolet,Bel Air,Chevy Bel Air,1957 Chevrolet Bel Air,,,,,,Rare,"130,000",D,444,5.7,4.3,4.7,5.1,4.3,220,300,3337,15.17,57,4638,NA,V,8,F,RWD,Both,205,Preset / hood,"415, 640, 700",444,465,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,7.300,19.600,17.518,131.1,207.5,501.6,0.71,0.71,12.300,9/7/2018,Factory
153,Rods and Customs,1955,Chevrolet,150 Utility Sedan,Chevy 150 Sedan,1955 Chevrolet 150 Utility Sedan,,,,,,Rare,"35,000",D,286,5.4,3.8,5.0,6.3,3.6,180,260,3309,18.38,55,4343,NA,V,8,F,RWD,no,175,Hood,"415, 640, 700",286,307,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,9.700,28.900,17.400,123.4,214.4,529.8,0.66,0.65,19.200,9/7/2018,Factory
154,Classic Sports Cars,1953,Chevrolet,Corvette,Corvette '53,1953 Chevrolet Corvette,,,,,,Rare,"135,000",D,347,4.7,4.4,4.2,4.3,4.2,160,223,2900,18.13,53,3861,NA,Inline,6,F,RWD,Both,195,Roof / hood,"321, 415",347,362,CS,stock,N. America,U.S.,Corvette,Yes,2,L,4,,,11.000,29.000,18.633,104.4,203.1,501.3,0.73,0.72,18.000,9/7/2018,Factory
155,Classic Muscle,1972,Chrysler,VH Valiant Charger R/T E49,Chrysler Valiant,1972 Chrysler VH Valiant Charger R/T E49,,,,,,Rare,"60,000",C,557,5.9,4.7,5.2,6.7,4.4,302,325,3031,10.04,56,4343,NA,Inline,6,F,RWD,no,205,Hood,"321, 415, 640, 707, 425h, 700",557,585,"T, PDS",stock,N. America,U.S.,,,2,R,4,,MvT,6.100,14.100,14.400,139.1,198.4,488.8,0.74,0.73,8.000,9/7/2018,Factory
156,,1975,Citroen,DS 23,Citroen DS 23,1975 Citroen DS 23,Exclusive,S35,,202105 Series 35,,,,,,,,,,,,,,,,,NA,Inline,4,F,FWD,,,,,,,,stock,Europe,France,,,,,4,,,,,,,,,,,,,Factory
157,Cult Cars,1970,Datsun,510,Datsun 510,1970 Datsun 510,,,,,,Common,"25,000",D,209,4.8,3.9,4.7,6.1,3.8,96,100,2127,22.16,54,1595,NA,Inline,4,F,RWD,no,165,Preset / drift,"321, 212, 327, 300",209,225,T,stock,Asia,Japan,,,2,L,4,,"MvT, RPC",13.500,42.000,19.700,104.2,206.1,509.3,0.67,0.67,28.500,9/7/2018,Factory
158,Modern Muscle,2018,Dodge,Challenger SRT Demon,Dodge SRT Demon,2018 Dodge Challenger SRT Demon,Exclusive,Story,,,,Epic,"150,000",S1,823,8.2,7.0,6.3,8.0,7.4,840,770,4248,5.06,58,6166,PDS,V,8,F,RWD,no,315,Forza,none,823,843,none,no,N. America,U.S.,,,2,L,4,,UH,2.300,6.011,,208.2,146.3,335.2,1.04,1.06,3.711,9/7/2018,Factory
159,Sports Utility Heroes,2018,Dodge,Durango SRT,Dodge Durango,2018 Dodge Durango SRT,,,,,,Rare,"70,000",A,709,6.9,5.9,7.3,9.2,5.5,475,470,5510,11.60,52,6424,NA,V,8,F,AWD,Both,295,Preset / Offroad,"640, 700",703,709,"TT, PDS",stock,N. America,U.S.,,,5,L,4,,"DvG, HH",4.400,11.700,12.866,173.3,F,F,0.88,0.88,7.300,9/7/2018,Factory
160,Track Toys,2016,Dodge,Viper ACR,Dodge Viper '16,2016 Dodge Viper ACR,,,,,,Rare,"150,000",S1,893,6.9,9.8,7.6,8.7,10.0,645,600,3368,5.22,50,8382,NA,V,10,F,RWD,Both,355,Adjustable,750,893,896,"TT, PDS, CS",stock,N. America,U.S.,Viper,,2,L,4,,?,3.500,7.400,11.483,174.1,103.4,230.5,1.46,1.72,3.900,9/7/2018,Factory
161,Modern Muscle,2015,Dodge,Charger SRT Hellcat,Dodge Charger '15,2015 Dodge Charger SRT Hellcat,,,S16.2,,,Epic,"80,000",A,785,8.2,6.1,6.1,7.7,6.5,707,650,4575,6.47,54,6166,PDS,V,8,F,RWD,Both,275,Forza,none,785,800,none,no,N. America,U.S.,Charger,,4,L,4,,HH,3.400,7.215,11.684,211.6,132.9,338.3,1.08,1.06,3.815,9/7/2018,Factory
162,Modern Muscle,2015,Dodge,Challenger SRT Hellcat,Challenger '15,2015 Dodge Challenger SRT Hellcat,,,,,,Rare,"75,000",A,776,8.1,6.1,5.9,7.5,6.5,707,650,4438,6.28,55,6166,PDS,V,8,F,RWD,Both,275,Preset / WB,"707, none",776,791,none,no,N. America,U.S.,Challenger,,2,L,4,,?,3.410,7.200,11.400,209.6,155.6,366.0,0.89,0.90,3.790,9/7/2018,Factory
163,Modern Muscle,2013,Dodge,SRT Viper GTS,Dodge Viper '13,2013 Dodge SRT Viper GTS,,,,,,Rare,"95,000",S1,831,8.0,7.3,7.0,8.2,7.2,640,600,3296,5.15,49,8383,NA,V,10,F,RWD,no,355,Forza,"640, none",831,835,"TT, PDS, CS",stock,N. America,U.S.,Viper,,2,L,4,,FF,3.600,7.650,,207.3,148.6,348.8,1.01,1.07,4.050,9/7/2018,Factory
164,Track Toys,2008,Dodge,Viper SRT10 ACR,Dodge Viper '08,2008 Dodge Viper SRT10 ACR,,,,,,Rare,"90,000",S1,866,7.5,9.2,7.1,8.3,9.6,600,560,3408,5.68,49,8383,NA,V,10,F,RWD,Both,345,Forza,"640, 700, 750",866,866,"TT, CS",stock,N. America,U.S.,Viper,,2,L,4,,,3.400,8.000,11.583,190.9,121.0,279.7,1.17,1.39,4.600,9/7/2018,Factory
165,Retro Muscle,1999,Dodge,Viper GTS ACR,Dodge Viper '99,1999 Dodge Viper GTS ACR,,,,,,Rare,"75,000",A,732,7.4,5.9,6.6,8.1,5.9,460,500,3450,7.50,48,7990,NA,V,10,F,RWD,Both,335,Forza,none,732,742,"TT, PDS, CS",stock,N. America,U.S.,Viper,,2,L,4,,MvT,4.300,9.600,12.583,189.7,154.8,379.0,0.89,0.91,5.300,9/7/2018,Factory
166,Classic Muscle,1970,Dodge,Challenger R/T,Challenger '70,1970 Dodge Challenger R/T,,,,,,Epic,"210,000",C,562,6.2,4.7,5.2,6.5,4.4,425,490,3800,8.94,58,6982,NA,V,8,F,RWD,Both,225,Hood,"415, 640, 425h, 707, 700",562,594,"TT, PDS",stock,N. America,U.S.,Challenger,,2,L,4,,"MvT, IMC",6.300,12.286,13.100,149.8,207.1,499.7,0.74,0.73,5.986,9/7/2018,Factory
167,Classic Muscle,1969,Dodge,Charger Daytona HEMI,Charger Daytona,1969 Dodge Charger Daytona HEMI,,"S7, S9, S25",,,,Epic,"900,000",C,595,5.9,5.2,5.4,6.9,4.8,425,490,3875,9.12,54,6974,NA,V,8,F,RWD,Both,225,Forza,"415, 640, 707",595,620,"TT, PDS",stock,N. America,U.S.,Charger,,2,L,4,,MvT,6.384,14.000,14.300,140.0,200.2,480.2,0.75,0.80,7.616,9/7/2018,Factory
168,Classic Muscle,1969,Dodge,Charger R/T,Dodge Charger '69,1969 Dodge Charger R/T,,,,,,Rare,"103,000",C,558,5.9,4.7,5.3,6.8,4.3,425,490,3671,8.64,54,6981,NA,V,8,F,RWD,Front,215,Preset / hood,"415, 640, 425, 707, 700",558,576,"TT, PDS",stock,N. America,U.S.,Charger,,4,L,4,,"MvT, IMC",6.000,16.000,14.382,141.0,203.8,498.3,0.73,0.73,10.000,9/7/2018,Factory
169,Classic Muscle,1968,Dodge,Dart HEMI Super Stock,Dodge Dart '68,1968 Dodge Dart HEMI Super Stock,,,,,,Rare,"125,000",B,626,5.4,4.9,5.5,7.0,4.6,425,490,3020,7.11,54,6980,NA,V,8,F,RWD,Both,215,Preset / hood,"415, 640, 707",626,715,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,3.591,9.300,12.883,123.3,187.6,465.9,0.76,0.76,5.709,9/7/2018,Factory
170,Track Toys,2013,Donkervoort,D8 GTO,Donkervoort GTO,2013 Donkervoort D8 GTO,,,S17.1,,,Rare,"175,000",S1,827,6.9,7.4,6.7,8.4,7.8,375,350,1532,4.09,48,2480,T,Inline,5,F,RWD,no,245,Forza,475,827,864,none,no,Europe,Netherlands,,Yes,2,L,4,,"OR, SS",2.800,6.953,11.183,171.3,131.1,315.5,1.01,1.08,4.153,9/7/2018,Factory
171,Hot Hatch,2011,DS Automobiles,DS3 Racing,DS 3 Racing '11,2011 DS Automobiles DS3 Racing,Exclusive,"S4, S6, S7, S11, S16, S20, S21, S28, Backstage",,201812 Series 4,,Common,"38,000",B,624,6.1,6.0,5.8,7.3,6.0,204,203,2568,12.59,60,1598,T,Inline,4,F,FWD,no,215,Forza,300,644,647,none,no,Europe,France,,,3,L,4,,,6.400,16.800,,146.1,145.7,371.3,0.87,0.88,10.400,12/20/2018,Factory
172,Modern Sports Cars,2012,Eagle (U.K.),Speedster,Eagle Speedster,2012 Eagle (U.K.) Speedster,,"S12, S17, S30",,,,Legendary,"550,000",A,740,6.8,6.5,6.1,7.8,6.7,330,361,2222,6.73,54,4694,NA,Inline,6,F,RWD,Both,245,Forza,"510, 602",,,"T, PDS",stock,Europe,U.K.,,Yes,2,R,4,,SS,4.815,10.600,,168.8,141.7,351.7,0.92,0.96,5.785,9/7/2018,Factory
173,Offroad Buggies,2018,Exomotive,Exocet Off-Road,Exocet Off-Road,2018 Exomotive Exocet Off-Road,DLC store,Free w/DLC,,201812 Fortune,,Epic,"50,000",A,729,5.4,7.7,6.8,8.5,7.4,252,230,1571,6.23,52,1839,T,Inline,4,F,RWD,no,240,"light bar, fenders","321, 415, 300, 690",729,756,none,,N. America,U.S.,,Yes,2,L,4,,,3.988,9.486,,124.7,154.3,355.4,0.91,0.99,5.498,12/13/2018,Factory
174,Track Toys,2019,Ferrari,488 Pista,Ferrari 488 Pista '19,2019 Ferrari 488 Pista,Exclusive,"S16, S19, S24, S28",S22.1,201911 Series 16,,Legendary,"250,000",S2,912,8.0,9.0,8.0,9.4,9.6,711,567,3053,4.29,42,3902,TT,V,8,M,RWD,Both,305,Forza,"750, 1036",912,912,none,eng,Europe,Italy,,,2,L,4,,,2.260,4.900,,210.2,109.2,254.3,1.22,1.41,2.640,11/19/2019,Factory
175,Super GT,2018,Ferrari,Portofino,Portofino '18,2018 Ferrari Portofino,Exclusive,Horizon Promo,S24.4,202004 Series 21,,Epic,"215,000",S1,834,8.2,7.3,7.2,8.8,7.9,591,560,3669,6.21,46,3855,TT,V,8,F,RWD,Both,288,Forza,"750, 1036",834,832,none,eng,Europe,Italy,,Yes,2,L,4,,,3.313,7.400,,213.5,125.7,308.1,1.04,1.10,4.087,4/6/2020,Factory
176,Super GT,2017,Ferrari,812 Superfast,Ferrari 812,2017 Ferrari 812 Superfast,Exclusive,S3,S1.2,201810 Series 1,,Common,"1,400,000",S1,897,8.3,8.1,7.1,8.7,8.6,788,529,3594,4.56,47,6496,NA,V,12,F,RWD,Both,315,Forza,750,897,900,TT,stock,Europe,Italy,,,2,L,4,,,3.012,5.512,10.483,218.7,120.7,295.4,1.10,1.22,2.500,7/2/2018,Factory
177,Super GT,2017,Ferrari,GTC4Lusso,Ferrari GTC4L,2017 Ferrari GTC4Lusso,DLC store,Free w/DLC,,FH4 Car Pass / HP,,Legendary,"430,000",S1,840,8.0,7.3,8.2,9.4,7.9,680,514,4233,6.23,47,6262,NA,V,12,F,AWD,Both,295,Forza,750,839,840,TT,stock,Europe,Italy,,,3,L,4,,,3.420,7.218,10.967,206.3,143.5,316.3,1.11,1.15,3.798,12/20/2018,Factory
178,Hypercars,2015,Ferrari,F12tdf,Ferrari F12TDF,2015 Ferrari F12tdf,,S29,,,,Epic,"500,000",S2,901,8.8,8.3,7.3,8.9,9.0,769,519,3351,4.36,46,6262,NA,V,12,F,RWD,Both,315,Forza,none,901,903,TT,stock,Europe,Italy,,,2,L,4,,,2.912,6.000,10.850,235.7,116.8,279.5,1.11,1.26,3.088,9/7/2018,Factory
179,Modern Super Cars,2015,Ferrari,488 GTB,Ferrari 488 GTB,2015 Ferrari 488 GTB,,,,,,Epic,"290,000",S1,883,8.5,8.1,7.5,9.1,8.7,660,560,3252,4.93,42,3902,TT,V,8,M,RWD,Yes,295,Forza,660,883,881,none,no,Europe,Italy,Ferrari V8,,2,L,4,,,2.800,5.700,,224.2,123.5,296.5,1.08,1.22,2.900,9/7/2018,Factory
180,Extreme Track Toys,2014,Ferrari,FXX K,Ferrari FXX K,2014 Ferrari FXX K,,,S16.1,,,Legendary,"2,700,000",S2,989,8.1,10.0,8.8,9.9,10.0,1036,664,2831,2.73,41,6262,NA,V,12,M,RWD,Yes,345,Forza,1036,989,985,none,stock,Europe,Italy,,,2,L,4,,"CS, HR",2.400,4.500,10.050,209.2,93.8,209.5,1.51,1.83,2.100,9/7/2018,Race
181,Super GT,2014,Ferrari,California T,Ferrari Cali T,2014 Ferrari California T,,,,,,Rare,"240,000",S1,804,7.7,6.7,6.8,8.5,7.3,554,556,3813,6.88,47,3855,TT,V,8,F,RWD,Yes,285,Forza,602,804,803,none,eng,Europe,Italy,Ferrari V8,FV,2,L,4,,,3.493,7.800,11.667,199.0,134.8,334.9,0.94,0.98,4.307,9/7/2018,Factory
182,Hypercars,2013,Ferrari,LaFerrari,LaFerrari,2013 Ferrari LaFerrari,,,S15.2,,,Legendary,"1,500,000",S2,966,9.5,9.8,8.2,9.5,10.0,963,663,3031,3.15,41,6262,NA,V,12,M,RWD,Yes,345,Forza,none,966,959,none,stock,Europe,Italy,,,2,L,4,,CS,2.900,5.215,10.167,254.8,106.3,249.2,1.28,1.53,2.315,9/7/2018,Factory
183,Modern Super Cars,2013,Ferrari,458 Speciale,Ferrari 458 S,2013 Ferrari 458 Speciale,,,,,,Epic,"340,000",S1,885,8.1,8.2,7.6,9.1,8.8,597,398,3075,5.15,42,4497,NA,V,8,M,RWD,Yes,305,Forza,602,885,884,"TT, CS",stock,Europe,Italy,Ferrari V8,,2,L,4,,CS,2.850,6.050,10.683,213.6,122.4,297.1,1.10,1.24,3.200,9/7/2018,Factory
184,Extreme Track Toys,2012,Ferrari,599XX Evoluzione,Ferrari 599XX E,2012 Ferrari 599XX Evoluzione,Exclusive,"S8, S14.1, S21.4, Backstage","S17.1, S23.4",201904 Series 8,,Epic,"250,000",S2,979,8.9,10.0,8.1,9.5,10.0,740,516,3038,4.11,47,5999,NA,V,12,F,RWD,Yes,310,Adjustable,1036,979,974,TT,stock,Europe,Italy,,,2,L,4,,,2.800,5.517,10.567,239.7,96.9,214.4,1.50,1.88,2.717,4/9/2019,Race
185,Super GT,2012,Ferrari,F12berlinetta,Ferrari F12,2012 Ferrari F12berlinetta,,,,,,Epic,"380,000",S1,868,8.3,7.3,7.1,8.7,7.9,730,508,3593,4.92,46,6262,NA,V,12,F,RWD,Yes,315,Forza,none,868,870,TT,stock,Europe,Italy,,,2,L,4,,,3.100,7.100,11.267,218.7,129.0,319.2,0.98,1.07,4.000,9/7/2018,Factory
186,Modern Super Cars,2011,Ferrari,FF,Ferrari FF,2011 Ferrari FF,,,,,,Legendary,"255,000",S1,815,8.1,6.6,7.5,8.8,7.2,651,495,4145,6.37,47,6262,NA,V,12,F,AWD,Yes,295,Forza,750,815,812,TT,stock,Europe,Italy,,,2,L,4,,,3.800,7.800,11.167,212.2,139.8,339.9,0.93,0.96,4.000,9/7/2018,Factory
187,Extreme Track Toys,2010,Ferrari,599XX,Ferrari 599XX,2010 Ferrari 599XX,,,,,,Legendary,"1,000,000",S2,937,7.8,9.4,7.9,9.3,9.9,691,479,3350,4.85,47,5999,NA,V,12,F,RWD,Yes,310,Forza,none,937,932,TT,stock,Europe,Italy,,,2,L,4,,,2.900,5.900,10.280,204.7,99.9,227.5,1.44,1.67,3.000,9/7/2018,Race
188,Super GT,2010,Ferrari,599 GTO,Ferrari 599 GTO,2010 Ferrari 599 GTO,,,,,,Epic,"690,000",S1,861,8.3,7.9,7.3,8.9,8.5,661,457,3538,5.35,47,5999,NA,V,12,F,RWD,Yes,315,Forza,none,861,856,TT,stock,Europe,Italy,,,2,L,4,,,3.364,7.216,11.300,219.1,126.5,301.5,1.08,1.19,3.852,9/7/2018,Factory
189,Modern Super Cars,2009,Ferrari,458 Italia,Ferrari 458,2009 Ferrari 458 Italia,,,,,,Epic,"300,000",S1,846,8.1,7.3,7.3,8.9,7.9,562,398,3274,5.83,42,4498,NA,V,8,M,RWD,Yes,295,Forza,562v8,846,849,"TT, CS",stock,Europe,Italy,Ferrari V8,,2,L,4,,FF,3.000,6.500,11.300,213.9,129.4,317.8,0.98,1.07,3.500,9/7/2018,Factory
190,Modern Super Cars,2007,Ferrari,430 Scuderia,Ferrari 430 S,2007 Ferrari 430 Scuderia,,,,,,Epic,"300,000",S1,834,8.0,7.4,7.2,8.8,7.9,503,346,2975,5.91,43,4308,NA,V,8,M,RWD,Yes,285,Forza,602,834,835,CS,stock,Europe,Italy,Ferrari V8,,2,L,4,,,3.088,7.086,11.200,209.2,130.7,321.0,0.98,1.07,3.998,9/7/2018,Factory
191,Extreme Track Toys,2005,Ferrari,FXX,Ferrari FXX,2005 Ferrari FXX,DLC store,Free w/DLC,,FH4 Car Pass,,Common,"2,500,000",S2,961,8.3,10.0,8.7,9.9,10.0,789,506,2546,3.23,44,6262,NA,V,12,M,RWD,Yes,345,Adjustable,"750, 1036",961,952,none,,Europe,Italy,,,2,L,4,,HR,2.800,5.300,,216.9,97.8,221.5,1.49,1.81,2.500,11/20/2018,Race
192,Retro Super Cars,2003,Ferrari,360 Challenge Stradale,Ferrari 360 CS,2003 Ferrari 360 Challenge Stradale,,S11,,,,Rare,"200,000",A,792,7.5,7.0,7.1,8.7,7.4,409,275,2844,6.95,43,3586,NA,V,8,M,RWD,no,285,Forza,"602, 562v8",792,788,"TT, PDS, CS",stock,Europe,Italy,Ferrari V8,,2,L,4,,,4.100,9.683,12.200,192.2,133.4,329.6,0.95,1.03,5.583,9/7/2018,Factory
193,Retro Super Cars,2002,Ferrari,Enzo Ferrari,Ferrari Enzo,2002 Ferrari Enzo Ferrari,,,,,,Legendary,"2,800,000",S1,874,8.4,8.0,7.4,8.9,8.4,650,484,3086,4.75,44,5998,NA,V,12,M,RWD,no,345,Forza,"650, 750",874,870,TT,stock,Europe,Italy,,,2,L,4,,"CS, HR",3.300,6.615,11.100,221.1,124.2,296.7,1.03,1.16,3.315,9/7/2018,Factory
194,Retro Super Cars,2002,Ferrari,575M Maranello,Ferrari 575M,2002 Ferrari 575M Maranello,,,,,,Rare,"140,000",A,772,7.9,6.2,6.6,8.3,6.1,508,434,3815,7.51,50,4943,NA,V,12,F,RWD,Yes,295,Forza,"650, 750",,,TT,stock,Europe,Italy,,,2,L,4,,,4.200,9.617,12.260,205.3,163.8,388.3,0.90,0.91,5.417,9/7/2018,Factory
195,Extreme Track Toys,1996,Ferrari,"F50 GT ""Welcome Pack""",Ferrari F50 WP,"1996 Ferrari F50 GT ""Welcome Pack""",DLC store,,,202007 Welcome,,Legendary,"1,200,000",S2,998,8.4,10.0,8.3,9.6,10.0,750,383,2002,2.67,42,4700,NA,V,12,M,RWD,no,325,Adjustable,none,998,993,TT,stock,Europe,Italy,,,2,L,4,,,2.900,6.700,,219.7,103.6,238.8,1.39,1.77,3.800,7/28/2020,Upgraded
196,Extreme Track Toys,1996,Ferrari,F50 GT,Ferrari F50 GT,1996 Ferrari F50 GT,,"S7, S15",,,,Legendary,"1,200,000",S2,992,8.4,10.0,8.4,9.5,10.0,749,383,2002,2.67,42,4700,NA,V,12,M,RWD,Yes,325,Adjustable,750,992,983,TT,stock,Europe,Italy,,,2,L,4,,,2.918,6.700,9.800,225.8,92.7,210.7,1.56,1.95,3.782,9/7/2018,Race
197,Retro Super Cars,1995,Ferrari,F50,Ferrari F50,1995 Ferrari F50,,"S10, S20",S25.4,,,Legendary,"2,000,000",S1,815,7.8,7.1,7.2,8.5,7.4,513,347,2712,5.29,42,4700,NA,V,12,M,RWD,Yes,335,Forza,"650, 750",815,821,TT,stock,Europe,Italy,,,2,L,4,,"CS, HR",3.700,8.500,12.100,203.4,144.2,326.5,1.09,1.20,4.800,9/7/2018,Factory
198,Retro Super Cars,1994,Ferrari,F355 Berlinetta,Ferrari F355,1994 Ferrari F355 Berlinetta,,,S2.1,,,Rare,"190,000",A,737,7.4,6.3,6.2,7.4,6.3,375,268,3196,8.52,41,3496,NA,V,8,M,RWD,Yes,265,Forza,"602, 562v8",,,"TT, CS",stock,Europe,Italy,Ferrari V8,,2,L,4,,,4.800,11.100,13.317,187.0,160.0,363.9,1.01,1.06,6.300,9/7/2018,Factory
199,Retro Super Cars,1992,Ferrari,512 TR,Ferrari 512TR,1992 Ferrari 512 TR,,,,,,Legendary,"270,000",A,754,7.9,6.3,6.6,7.7,5.8,421,360,3690,8.76,42,4943,NA,Flat,12,M,RWD,Yes,295,Forza,493,,,"TT, PDS, CS",stock,Europe,Italy,,,2,L,4,,IMC,5.000,10.700,12.883,202.9,164.9,388.5,1.02,1.07,5.700,9/7/2018,Factory
200,Extreme Track Toys,1989,Ferrari,F40 Competizione,Ferrari F40 C,1989 Ferrari F40 Competizione,,"S15, S26",,,,Legendary,"3,000,000",S2,961,8.5,10.0,7.0,5.4,10.0,780,526,2315,2.97,42,2936,TT,V,8,M,RWD,Yes,365,Adjustable,750,961,961,none,no,Europe,Italy,Ferrari V8,,2,L,4,,HR,3.100,6.100,10.117,223.6,100.5,224.2,1.55,1.88,3.000,9/7/2018,Race
201,Retro Super Cars,1987,Ferrari,F40,Ferrari F40,1987 Ferrari F40,,,S29.2,,,Legendary,"1,200,000",S1,807,7.7,7.0,7.5,8.1,7.0,478,424,2980,6.23,42,2936,TT,V,8,M,RWD,Yes,335,Forza,"562v8, 650",807,811,none,eng,Europe,Italy,Ferrari V8,,2,L,4,,WFRC,3.700,8.100,11.700,200.5,146.5,336.6,1.09,1.18,4.400,9/7/2018,Factory
202,Retro Super Cars,1984,Ferrari,288 GTO,Ferrari 288 GTO,1984 Ferrari 288 GTO,,"S9, S21, S29",,,,Legendary,"3,100,000",A,768,7.8,6.2,6.8,8.4,6.1,395,366,2557,6.47,47,2855,TT,V,8,M,RWD,Yes,265,Forza,562v8,768,777,none,eng,Europe,Italy,Ferrari V8,,2,L,4,,"WFRC, HR, HOM",5.000,11.000,14.100,203.5,150.3,356.8,1.02,1.04,6.000,9/7/2018,Factory
203,Classic Racers,1970,Ferrari,512 S,Ferrari 512S,1970 Ferrari 512 S,Exclusive,"S16.2 FP, S22.4 Trial","S18.4, S23.1",201911 Series 16,,Legendary,"250,000",S1,872,8.0,8.0,7.9,9.0,7.5,542,371,2090,3.86,36,4994,NA,V,12,M,RWD,no,370,Adjustable,750,872,885,none,stock,Europe,Italy,,,2,R,4,,,3.800,6.600,,210.0,125.2,307.9,1.04,1.17,2.800,11/19/2019,Race
